time_ms,pwm,rpm_left,rpm_right
20,0,0.00,0.00
40,0,0.00,0.00
60,0,0.00,0.00
80,0,0.00,0.00
100,0,0.00,0.00
120,0,0.00,0.00
140,0,0.00,0.00
160,0,0.00,0.00
180,0,0.00,0.00
200,0,0.00,0.00
220,0,0.00,0.00
240,0,0.00,0.00
260,0,0.00,0.00
280,0,0.00,0.00
300,0,0.00,0.00
320,0,0.00,0.00
340,0,0.00,0.00
360,0,0.00,0.00
380,0,0.00,0.00
400,0,0.00,0.00
420,0,0.00,0.00
440,0,0.00,0.00
460,0,0.00,0.00
480,0,0.00,0.00
500,0,0.00,0.00
520,0,0.00,0.00
540,0,0.00,0.00
560,0,0.00,0.00
580,0,0.00,0.00
600,0,0.00,0.00
620,0,0.00,0.00
640,0,0.00,0.00
660,0,0.00,0.00
680,0,0.00,0.00
700,0,0.00,0.00
720,0,0.00,0.00
740,0,0.00,0.00
760,0,0.00,0.00
780,0,0.00,0.00
800,0,0.00,0.00
820,0,0.00,0.00
840,0,0.00,0.00
860,0,0.00,0.00
880,0,0.00,0.00
900,0,0.00,0.00
920,0,0.00,0.00
940,0,0.00,0.00
960,0,0.00,0.00
980,0,0.00,0.00
1000,0,0.00,0.00
1020,0,0.00,0.00
1040,0,0.00,0.00
1060,0,0.00,0.00
1080,0,0.00,0.00
1100,0,0.00,0.00
1120,0,0.00,0.00
1140,0,0.00,0.00
1160,0,0.00,0.00
1180,0,0.00,0.00
1200,0,0.00,0.00
1220,0,0.00,0.00
1240,0,0.00,0.00
1260,0,0.00,0.00
1280,0,0.00,0.00
1300,0,0.00,0.00
1320,0,0.00,0.00
1340,0,0.00,0.00
1360,0,0.00,0.00
1380,0,0.00,0.00
1400,0,0.00,0.00
1420,0,0.00,0.00
1440,0,0.00,0.00
1460,0,0.00,0.00
1480,0,0.00,0.00
1500,0,0.00,0.00
1520,0,0.00,0.00
1540,0,0.00,0.00
1560,0,0.00,0.00
1580,0,0.00,0.00
1600,0,0.00,0.00
1620,0,0.00,0.00
1640,0,0.00,0.00
1660,0,0.00,0.00
1680,0,0.00,0.00
1700,0,0.00,0.00
1720,0,0.00,0.00
1740,0,0.00,0.00
1760,0,0.00,0.00
1780,0,0.00,0.00
1800,0,0.00,0.00
1820,0,0.00,0.00
1840,0,0.00,0.00
1860,0,0.00,0.00
1880,0,0.00,0.00
1900,0,0.00,0.00
1920,0,0.00,0.00
1940,0,0.00,0.00
1960,0,0.00,0.00
1980,0,0.00,0.00
2000,180,0.00,0.00
2020,180,0.00,0.00
2040,180,0.00,150.00
2060,180,0.00,0.00
2080,180,300.00,300.00
2100,180,150.00,150.00
2120,180,150.00,150.00
2140,180,300.00,300.00
2160,180,300.00,300.00
2180,180,300.00,300.00
2200,180,450.00,300.00
2220,180,300.00,450.00
2240,180,450.00,450.00
2260,180,300.00,300.00
2280,180,450.00,450.00
2300,180,450.00,450.00
2320,180,300.00,300.00
2340,180,600.00,600.00
2360,180,300.00,300.00
2380,180,600.00,450.00
2400,180,300.00,450.00
2420,180,600.00,600.00
2440,180,450.00,450.00
2460,180,450.00,450.00
2480,180,600.00,450.00
2500,180,450.00,600.00
2520,180,450.00,450.00
2540,180,600.00,600.00
2560,180,450.00,300.00
2580,180,450.00,600.00
2600,180,600.00,600.00
2620,180,600.00,450.00
2640,180,450.00,450.00
2660,180,450.00,600.00
2680,180,600.00,600.00
2700,180,600.00,450.00
2720,180,450.00,450.00
2740,180,450.00,600.00
2760,180,600.00,600.00
2780,180,600.00,450.00
2800,180,450.00,450.00
2820,180,450.00,600.00
2840,180,600.00,600.00
2860,180,600.00,450.00
2880,180,600.00,450.00
2900,180,450.00,600.00
2920,180,450.00,600.00
2940,180,600.00,600.00
2960,180,600.00,450.00
2980,180,450.00,450.00
3000,180,600.00,600.00
3020,180,450.00,600.00
3040,180,600.00,450.00
3060,180,600.00,600.00
3080,180,600.00,450.00
3100,180,450.00,600.00
3120,180,450.00,600.00
3140,180,600.00,450.00
3160,180,600.00,600.00
3180,180,450.00,450.00
3200,180,600.00,600.00
3220,180,450.00,600.00
3240,180,600.00,600.00
3260,180,600.00,450.00
3280,180,600.00,450.00
3300,180,450.00,600.00
3320,180,450.00,600.00
3340,180,600.00,600.00
3360,180,600.00,450.00
3380,180,600.00,450.00
3400,180,450.00,600.00
3420,180,450.00,600.00
3440,180,600.00,600.00
3460,180,600.00,450.00
3480,180,600.00,450.00
3500,180,450.00,600.00
3520,180,600.00,600.00
3540,180,450.00,600.00
3560,180,600.00,450.00
3580,180,600.00,600.00
3600,180,600.00,450.00
3620,180,450.00,600.00
3640,180,450.00,600.00
3660,180,600.00,600.00
3680,180,600.00,450.00
3700,180,600.00,450.00
3720,180,450.00,600.00
3740,180,450.00,600.00
3760,180,600.00,600.00
3780,180,600.00,450.00
3800,180,600.00,450.00
3820,180,450.00,600.00
3840,180,450.00,600.00
3860,180,600.00,600.00
3880,180,600.00,600.00
3900,180,600.00,450.00
3920,180,450.00,450.00
3940,180,450.00,600.00
3960,180,600.00,600.00
3980,180,600.00,450.00
4000,180,600.00,600.00
4020,180,450.00,450.00
4040,180,600.00,600.00
4060,180,450.00,600.00
4080,180,600.00,600.00
4100,180,600.00,450.00
4120,180,450.00,600.00
4140,180,600.00,450.00
4160,180,450.00,600.00
4180,180,600.00,600.00
4200,180,600.00,450.00
4220,180,600.00,600.00
4240,180,450.00,450.00
4260,180,450.00,600.00
4280,180,600.00,600.00
4300,180,600.00,600.00
4320,180,600.00,450.00
4340,180,450.00,450.00
4360,180,450.00,600.00
4380,180,600.00,600.00
4400,180,600.00,600.00
4420,180,600.00,450.00
4440,180,450.00,450.00
4460,180,600.00,600.00
4480,180,450.00,600.00
4500,180,600.00,600.00
4520,180,600.00,600.00
4540,180,450.00,450.00
4560,180,600.00,450.00
4580,180,450.00,600.00
4600,180,600.00,600.00
4620,180,600.00,600.00
4640,180,600.00,450.00
4660,180,450.00,450.00
4680,180,450.00,600.00
4700,180,600.00,600.00
4720,180,600.00,600.00
4740,180,600.00,450.00
4760,180,450.00,600.00
4780,180,450.00,450.00
4800,180,600.00,600.00
4820,180,600.00,600.00
4840,180,600.00,600.00
4860,180,450.00,450.00
4880,180,450.00,450.00
4900,180,600.00,600.00
4920,180,600.00,600.00
4940,180,600.00,600.00
4960,180,450.00,600.00
4980,180,600.00,450.00
5000,180,450.00,450.00
5020,180,600.00,600.00
5040,180,600.00,600.00
5060,180,600.00,600.00
5080,180,450.00,450.00
5100,180,450.00,600.00
5120,180,600.00,450.00
5140,180,600.00,600.00
5160,180,600.00,600.00
5180,180,450.00,600.00
5200,180,450.00,600.00
5220,180,600.00,450.00
5240,180,600.00,450.00
5260,180,600.00,600.00
5280,180,450.00,600.00
5300,180,600.00,450.00
5320,180,450.00,600.00
5340,180,600.00,450.00
5360,180,600.00,600.00
5380,180,450.00,600.00
5400,180,600.00,600.00
5420,180,450.00,450.00
5440,180,600.00,600.00
5460,180,600.00,450.00
5480,180,450.00,600.00
5500,180,600.00,600.00
5520,180,450.00,600.00
5540,180,600.00,450.00
5560,180,600.00,450.00
5580,180,600.00,600.00
5600,180,450.00,600.00
5620,180,450.00,600.00
5640,180,600.00,600.00
5660,180,600.00,450.00
5680,180,600.00,450.00
5700,180,450.00,600.00
5720,180,450.00,600.00
5740,180,600.00,600.00
5760,180,600.00,450.00
5780,180,600.00,600.00
5800,180,450.00,450.00
5820,180,600.00,600.00
5840,180,450.00,600.00
5860,180,600.00,600.00
5880,180,600.00,450.00
5900,180,450.00,450.00
5920,180,600.00,600.00
5940,180,450.00,600.00
5960,180,600.00,600.00
5980,180,600.00,450.00
6000,0,450.00,600.00
